receipt_id,line_id,product_id,product_name,category,sku,qty,unit_price,line_discount,line_tax
REC00000008,LINE00000008,POS-PROD0001,Columbia Padded Hoodie,Outerwear,POS-SKU0099,3,280,2,50.4
REC00000008,LINE00000008,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,1,310,0,18.6
REC00000009,LINE00000009,POS-PROD0018,New Balance GlideStep Sandals,Shoes,POS-SKU0015,1,100,6,6.0
REC00000009,LINE00000009,POS-PROD0014,American Eagle SlimCore Trousers,Bottoms,POS-SKU0073,3,150,4,27.0
REC00000009,LINE00000009,POS-PROD0013,Puma RapidDry Athletic Tee,Activewear,POS-SKU0057,2,100,5,12.0
REC00000009,LINE00000009,POS-PROD0019,American Eagle CoreFlex Skirt,Bottoms,POS-SKU0082,1,140,1,8.4
REC00000010,LINE00000010,POS-PROD0012,Under Armour SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,7,10.8
REC00000011,LINE00000011,POS-PROD0003,Marmot Quilted Coat,Outerwear,POS-SKU0034,2,130,6,15.6
REC00000012,LINE00000012,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,2,80,2,9.6
REC00000012,LINE00000012,POS-PROD0004,Marmot UtilityStyle Hoodie,Outerwear,POS-SKU0062,2,50,0,6.0
REC00000012,LINE00000012,POS-PROD0007,Nike Cropped Shirt,Tops,POS-SKU0052,1,130,9,7.8
REC00000013,LINE00000013,POS-PROD0004,Marmot UtilityStyle Hoodie,Outerwear,POS-SKU0062,3,50,0,9.0
REC00000013,LINE00000013,POS-PROD0003,Marmot Quilted Coat,Outerwear,POS-SKU0034,2,130,0,15.6
REC00000014,LINE00000014,POS-PROD0013,Puma RapidDry Athletic Tee,Activewear,POS-SKU0057,3,100,9,18.0
REC00000014,LINE00000014,POS-PROD0006,Calvin Klein Layered Maxi Dress,Dresses,POS-SKU0085,1,270,2,16.2
REC00000014,LINE00000014,POS-PROD0001,Columbia Padded Hoodie,Outerwear,POS-SKU0099,1,280,5,16.8
REC00000014,LINE00000014,POS-PROD0011,Converse GripLock Running Shoes,Shoes,POS-SKU0010,1,180,7,10.8
REC00000014,LINE00000014,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,1,310,3,18.6
REC00000015,LINE00000015,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,2,80,0,9.6
REC00000015,LINE00000015,POS-PROD0018,New Balance GlideStep Sandals,Shoes,POS-SKU0015,3,100,2,18.0
REC00000015,LINE00000015,POS-PROD0002,Puma AirFlow Blouse,Tops,POS-SKU0005,3,200,6,36.0
REC00000015,LINE00000015,POS-PROD0009,Skechers Slip-On Slip-Ons,Shoes,POS-SKU0011,1,290,8,17.4
REC00000015,LINE00000015,POS-PROD0011,Converse GripLock Running Shoes,Shoes,POS-SKU0010,2,180,1,21.6
REC00000016,LINE00000016,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,1,310,7,18.6
REC00000016,LINE00000016,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,1,80,0,4.8
REC00000016,LINE00000016,POS-PROD0013,Puma RapidDry Athletic Tee,Activewear,POS-SKU0057,2,100,2,12.0
REC00000016,LINE00000016,POS-PROD0014,American Eagle SlimCore Trousers,Bottoms,POS-SKU0073,3,150,5,27.0
REC00000016,LINE00000016,POS-PROD0020,American Eagle EnduraFit Shorts,Bottoms,POS-SKU0012,2,180,7,21.6
REC00000017,LINE00000017,POS-PROD0013,Puma RapidDry Athletic Tee,Activewear,POS-SKU0057,2,100,6,12.0
REC00000017,LINE00000017,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,3,310,7,55.8
REC00000017,LINE00000017,POS-PROD0012,Under Armour SkinFit Sports Bra,Activewear,POS-SKU0055,1,90,8,5.4
REC00000017,LINE00000017,POS-PROD0005,Banana Republic Contemporary Midi Dress,Dresses,POS-SKU0094,2,270,1,32.4
REC00000018,LINE00000018,POS-PROD0004,Marmot UtilityStyle Hoodie,Outerwear,POS-SKU0062,3,50,0,9.0
REC00000018,LINE00000018,POS-PROD0002,Puma AirFlow Blouse,Tops,POS-SKU0005,3,200,7,36.0
REC00000018,LINE00000018,POS-PROD0014,American Eagle SlimCore Trousers,Bottoms,POS-SKU0073,1,150,5,9.0
REC00000019,LINE00000019,POS-PROD0020,American Eagle EnduraFit Shorts,Bottoms,POS-SKU0012,2,180,5,21.6
REC00000020,LINE00000020,POS-PROD0015,Calvin Klein StormProof Cardigan,Outerwear,POS-SKU0075,3,300,1,54.0
REC00000020,LINE00000020,POS-PROD0014,American Eagle SlimCore Trousers,Bottoms,POS-SKU0073,2,150,3,18.0
REC00000020,LINE00000020,POS-PROD0012,Under Armour SkinFit Sports Bra,Activewear,POS-SKU0055,3,90,9,16.2
REC00000021,LINE00000021,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,3,310,9,55.8
REC00000021,LINE00000021,POS-PROD0016,Lululemon PowerMesh Athletic Tee,Activewear,POS-SKU0043,2,100,8,12.0
REC00000021,LINE00000021,POS-PROD0018,New Balance GlideStep Sandals,Shoes,POS-SKU0015,2,100,1,12.0
REC00000021,LINE00000021,POS-PROD0005,Banana Republic Contemporary Midi Dress,Dresses,POS-SKU0094,2,270,4,32.4
REC00000022,LINE00000022,POS-PROD0006,Calvin Klein Layered Maxi Dress,Dresses,POS-SKU0085,2,270,7,32.4
REC00000022,LINE00000022,POS-PROD0011,Converse GripLock Running Shoes,Shoes,POS-SKU0010,2,180,2,21.6
REC00000023,LINE00000023,POS-PROD0005,Banana Republic Contemporary Midi Dress,Dresses,POS-SKU0094,1,270,6,16.2
REC00000024,LINE00000024,POS-PROD0015,Calvin Klein StormProof Cardigan,Outerwear,POS-SKU0075,3,300,6,54.0
REC00000024,LINE00000024,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,2,310,5,37.2
REC00000024,LINE00000024,POS-PROD0002,Puma AirFlow Blouse,Tops,POS-SKU0005,3,200,1,36.0
REC00000024,LINE00000024,POS-PROD0003,Marmot Quilted Coat,Outerwear,POS-SKU0034,2,130,1,15.6
REC00000025,LINE00000025,POS-PROD0005,Banana Republic Contemporary Midi Dress,Dresses,POS-SKU0094,1,270,2,16.2
REC00000025,LINE00000025,POS-PROD0006,Calvin Klein Layered Maxi Dress,Dresses,POS-SKU0085,3,270,7,48.6
REC00000025,LINE00000025,POS-PROD0012,Under Armour SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,1,10.8
REC00000026,LINE00000026,POS-PROD0008,Under Armour SkinFit Polo Shirt,Tops,POS-SKU0095,1,280,3,16.8
REC00000026,LINE00000026,POS-PROD0016,Lululemon PowerMesh Athletic Tee,Activewear,POS-SKU0043,3,100,0,18.0
REC00000026,LINE00000026,POS-PROD0001,Columbia Padded Hoodie,Outerwear,POS-SKU0099,3,280,0,50.4
REC00000027,LINE00000027,POS-PROD0012,Under Armour SkinFit Sports Bra,Activewear,POS-SKU0055,3,90,5,16.2
REC00000028,LINE00000028,POS-PROD0002,Puma AirFlow Blouse,Tops,POS-SKU0005,2,200,2,24.0
REC00000028,LINE00000028,POS-PROD0015,Calvin Klein StormProof Cardigan,Outerwear,POS-SKU0075,1,300,3,18.0
REC00000028,LINE00000028,POS-PROD0006,Calvin Klein Layered Maxi Dress,Dresses,POS-SKU0085,3,270,4,48.6
REC00000028,LINE00000028,POS-PROD0016,Lululemon PowerMesh Athletic Tee,Activewear,POS-SKU0043,2,100,7,12.0
REC00000029,LINE00000029,POS-PROD0006,Calvin Klein Layered Maxi Dress,Dresses,POS-SKU0085,3,270,8,48.6
REC00000029,LINE00000029,POS-PROD0008,Under Armour SkinFit Polo Shirt,Tops,POS-SKU0095,1,280,7,16.8
REC00000030,LINE00000030,POS-PROD0016,Lululemon PowerMesh Athletic Tee,Activewear,POS-SKU0043,2,100,5,12.0
REC00000030,LINE00000030,POS-PROD0014,American Eagle SlimCore Trousers,Bottoms,POS-SKU0073,3,150,5,27.0
REC00000030,LINE00000030,POS-PROD0007,Nike Cropped Shirt,Tops,POS-SKU0052,3,130,9,23.4
REC00000030,LINE00000030,POS-PROD0018,New Balance GlideStep Sandals,Shoes,POS-SKU0015,3,100,7,18.0
REC00000030,LINE00000030,POS-PROD0005,Banana Republic Contemporary Midi Dress,Dresses,POS-SKU0094,3,270,9,48.6
REC00000031,LINE00000031,POS-PROD0020,American Eagle EnduraFit Shorts,Bottoms,POS-SKU0012,3,180,0,32.4
REC00000031,LINE00000031,POS-PROD0018,New Balance GlideStep Sandals,Shoes,POS-SKU0015,1,100,4,6.0
REC00000032,LINE00000032,POS-PROD0012,Under Armour SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,1,10.8
REC00000033,LINE00000033,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,1,80,5,4.8
REC00000033,LINE00000033,POS-PROD0003,Marmot Quilted Coat,Outerwear,POS-SKU0034,3,130,2,23.4
REC00000033,LINE00000033,POS-PROD0011,Converse GripLock Running Shoes,Shoes,POS-SKU0010,2,180,5,21.6
REC00000033,LINE00000033,POS-PROD0006,Calvin Klein Layered Maxi Dress,Dresses,POS-SKU0085,3,270,6,48.6
REC00000034,LINE00000034,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,1,80,3,4.8
REC00000034,LINE00000034,POS-PROD0012,Under Armour SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,9,10.8
REC00000035,LINE00000035,POS-PROD0019,American Eagle CoreFlex Skirt,Bottoms,POS-SKU0082,3,140,1,25.2
REC00000035,LINE00000035,POS-PROD0008,Under Armour SkinFit Polo Shirt,Tops,POS-SKU0095,2,280,5,33.6
REC00000035,LINE00000035,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,1,80,5,4.8
REC00000036,LINE00000036,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,1,80,8,4.8
REC00000036,LINE00000036,POS-PROD0008,Under Armour SkinFit Polo Shirt,Tops,POS-SKU0095,3,280,9,50.4
REC00000037,LINE00000037,POS-PROD0009,Skechers Slip-On Slip-Ons,Shoes,POS-SKU0011,3,290,3,52.2
REC00000037,LINE00000037,POS-PROD0011,Converse GripLock Running Shoes,Shoes,POS-SKU0010,3,180,9,32.4
REC00000037,LINE00000037,POS-PROD0008,Under Armour SkinFit Polo Shirt,Tops,POS-SKU0095,2,280,5,33.6
REC00000038,LINE00000038,POS-PROD0002,Puma AirFlow Blouse,Tops,POS-SKU0005,2,200,5,24.0
REC00000038,LINE00000038,POS-PROD0003,Marmot Quilted Coat,Outerwear,POS-SKU0034,2,130,6,15.6
REC00000039,LINE00000039,POS-PROD0013,Puma RapidDry Athletic Tee,Activewear,POS-SKU0057,3,100,3,18.0
REC00000039,LINE00000039,POS-PROD0004,Marmot UtilityStyle Hoodie,Outerwear,POS-SKU0062,2,50,0,6.0
REC00000039,LINE00000039,POS-PROD0020,American Eagle EnduraFit Shorts,Bottoms,POS-SKU0012,1,180,0,10.8
REC00000040,LINE00000040,POS-PROD0009,Skechers Slip-On Slip-Ons,Shoes,POS-SKU0011,1,290,5,17.4
REC00000040,LINE00000040,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,1,310,0,18.6
REC00000040,LINE00000040,POS-PROD0008,Under Armour SkinFit Polo Shirt,Tops,POS-SKU0095,1,280,8,16.8
REC00000040,LINE00000040,POS-PROD0013,Puma RapidDry Athletic Tee,Activewear,POS-SKU0057,3,100,8,18.0
REC00000041,LINE00000041,POS-PROD0012,Under Armour SkinFit Sports Bra,Activewear,POS-SKU0055,3,90,2,16.2
REC00000041,LINE00000041,POS-PROD0004,Marmot UtilityStyle Hoodie,Outerwear,POS-SKU0062,2,50,0,6.0
REC00000041,LINE00000041,POS-PROD0019,American Eagle CoreFlex Skirt,Bottoms,POS-SKU0082,1,140,4,8.4
REC00000041,LINE00000041,POS-PROD0005,Banana Republic Contemporary Midi Dress,Dresses,POS-SKU0094,2,270,7,32.4
REC00000042,LINE00000042,POS-PROD0005,Banana Republic Contemporary Midi Dress,Dresses,POS-SKU0094,2,270,8,32.4
REC00000043,LINE00000043,POS-PROD0013,Puma RapidDry Athletic Tee,Activewear,POS-SKU0057,1,100,1,6.0
REC00000043,LINE00000043,POS-PROD0016,Lululemon PowerMesh Athletic Tee,Activewear,POS-SKU0043,2,100,0,12.0
REC00000043,LINE00000043,POS-PROD0001,Columbia Padded Hoodie,Outerwear,POS-SKU0099,2,280,7,33.6
REC00000043,LINE00000043,POS-PROD0018,New Balance GlideStep Sandals,Shoes,POS-SKU0015,3,100,0,18.0
REC00000043,LINE00000043,POS-PROD0009,Skechers Slip-On Slip-Ons,Shoes,POS-SKU0011,3,290,0,52.2
REC00000044,LINE00000044,POS-PROD0006,Calvin Klein Layered Maxi Dress,Dresses,POS-SKU0085,3,270,6,48.6
REC00000044,LINE00000044,POS-PROD0004,Marmot UtilityStyle Hoodie,Outerwear,POS-SKU0062,2,50,0,6.0
REC00000044,LINE00000044,POS-PROD0013,Puma RapidDry Athletic Tee,Activewear,POS-SKU0057,3,100,5,18.0
REC00000045,LINE00000045,POS-PROD0007,Nike Cropped Shirt,Tops,POS-SKU0052,1,130,9,7.8
REC00000045,LINE00000045,POS-PROD0009,Skechers Slip-On Slip-Ons,Shoes,POS-SKU0011,3,290,4,52.2
REC00000045,LINE00000045,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,1,80,0,4.8
REC00000046,LINE00000046,POS-PROD0009,Skechers Slip-On Slip-Ons,Shoes,POS-SKU0011,1,290,3,17.4
REC00000046,LINE00000046,POS-PROD0001,Columbia Padded Hoodie,Outerwear,POS-SKU0099,3,280,2,50.4
REC00000046,LINE00000046,POS-PROD0012,Under Armour SkinFit Sports Bra,Activewear,POS-SKU0055,3,90,6,16.2
REC00000046,LINE00000046,POS-PROD0007,Nike Cropped Shirt,Tops,POS-SKU0052,2,130,7,15.6
REC00000047,LINE00000047,POS-PROD0012,Under Armour SkinFit Sports Bra,Activewear,POS-SKU0055,1,90,3,5.4
REC00000047,LINE00000047,POS-PROD0002,Puma AirFlow Blouse,Tops,POS-SKU0005,3,200,4,36.0
REC00000047,LINE00000047,POS-PROD0005,Banana Republic Contemporary Midi Dress,Dresses,POS-SKU0094,1,270,0,16.2
REC00000047,LINE00000047,POS-PROD0006,Calvin Klein Layered Maxi Dress,Dresses,POS-SKU0085,3,270,6,48.6
REC00000047,LINE00000047,POS-PROD0019,American Eagle CoreFlex Skirt,Bottoms,POS-SKU0082,2,140,8,16.8
REC00000048,LINE00000048,POS-PROD0011,Converse GripLock Running Shoes,Shoes,POS-SKU0010,3,180,2,32.4
REC00000048,LINE00000048,POS-PROD0012,Under Armour SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,0,10.8
REC00000048,LINE00000048,POS-PROD0007,Nike Cropped Shirt,Tops,POS-SKU0052,1,130,7,7.8
REC00000049,LINE00000049,POS-PROD0016,Lululemon PowerMesh Athletic Tee,Activewear,POS-SKU0043,1,100,8,6.0
REC00000049,LINE00000049,POS-PROD0009,Skechers Slip-On Slip-Ons,Shoes,POS-SKU0011,1,290,5,17.4
REC00000050,LINE00000050,POS-PROD0008,Under Armour SkinFit Polo Shirt,Tops,POS-SKU0095,2,280,9,33.6
REC00000050,LINE00000050,POS-PROD0014,American Eagle SlimCore Trousers,Bottoms,POS-SKU0073,1,150,9,9.0
REC00000050,LINE00000050,POS-PROD0015,Calvin Klein StormProof Cardigan,Outerwear,POS-SKU0075,1,300,8,18.0
REC00000051,LINE00000051,POS-PROD0015,Calvin Klein StormProof Cardigan,Outerwear,POS-SKU0075,3,300,5,54.0
REC00000051,LINE00000051,POS-PROD0003,Marmot Quilted Coat,Outerwear,POS-SKU0034,1,130,2,7.8
REC00000052,LINE00000052,POS-PROD0018,New Balance GlideStep Sandals,Shoes,POS-SKU0015,2,100,8,12.0
REC00000052,LINE00000052,POS-PROD0015,Calvin Klein StormProof Cardigan,Outerwear,POS-SKU0075,2,300,3,36.0
REC00000052,LINE00000052,POS-PROD0007,Nike Cropped Shirt,Tops,POS-SKU0052,3,130,1,23.4
REC00000052,LINE00000052,POS-PROD0001,Columbia Padded Hoodie,Outerwear,POS-SKU0099,3,280,2,50.4
REC00000053,LINE00000053,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,2,80,3,9.6
REC00000053,LINE00000053,POS-PROD0018,New Balance GlideStep Sandals,Shoes,POS-SKU0015,3,100,8,18.0
REC00000053,LINE00000053,POS-PROD0003,Marmot Quilted Coat,Outerwear,POS-SKU0034,3,130,8,23.4
REC00000053,LINE00000053,POS-PROD0009,Skechers Slip-On Slip-Ons,Shoes,POS-SKU0011,3,290,4,52.2
REC00000053,LINE00000053,POS-PROD0005,Banana Republic Contemporary Midi Dress,Dresses,POS-SKU0094,1,270,8,16.2
REC00000054,LINE00000054,POS-PROD0003,Marmot Quilted Coat,Outerwear,POS-SKU0034,3,130,7,23.4
REC00000054,LINE00000054,POS-PROD0002,Puma AirFlow Blouse,Tops,POS-SKU0005,1,200,5,12.0
REC00000054,LINE00000054,POS-PROD0016,Lululemon PowerMesh Athletic Tee,Activewear,POS-SKU0043,2,100,0,12.0
REC00000054,LINE00000054,POS-PROD0015,Calvin Klein StormProof Cardigan,Outerwear,POS-SKU0075,3,300,1,54.0
REC00000055,LINE00000055,POS-PROD0008,Under Armour SkinFit Polo Shirt,Tops,POS-SKU0095,2,280,4,33.6
REC00000055,LINE00000055,POS-PROD0020,American Eagle EnduraFit Shorts,Bottoms,POS-SKU0012,1,180,2,10.8
REC00000055,LINE00000055,POS-PROD0005,Banana Republic Contemporary Midi Dress,Dresses,POS-SKU0094,3,270,9,48.6
REC00000055,LINE00000055,POS-PROD0009,Skechers Slip-On Slip-Ons,Shoes,POS-SKU0011,2,290,1,34.8
REC00000056,LINE00000056,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,2,80,5,9.6
REC00000056,LINE00000056,POS-PROD0012,Under Armour SkinFit Sports Bra,Activewear,POS-SKU0055,2,90,6,10.8
REC00000057,LINE00000057,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,2,310,9,37.2
REC00000057,LINE00000057,POS-PROD0018,New Balance GlideStep Sandals,Shoes,POS-SKU0015,1,100,5,6.0
REC00000058,LINE00000058,POS-PROD0009,Skechers Slip-On Slip-Ons,Shoes,POS-SKU0011,3,290,1,52.2
REC00000058,LINE00000058,POS-PROD0015,Calvin Klein StormProof Cardigan,Outerwear,POS-SKU0075,3,300,7,54.0
REC00000058,LINE00000058,POS-PROD0001,Columbia Padded Hoodie,Outerwear,POS-SKU0099,2,280,4,33.6
REC00000059,LINE00000059,POS-PROD0007,Nike Cropped Shirt,Tops,POS-SKU0052,2,130,1,15.6
REC00000060,LINE00000060,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,1,80,2,4.8
REC00000060,LINE00000060,POS-PROD0008,Under Armour SkinFit Polo Shirt,Tops,POS-SKU0095,1,280,0,16.8
REC00000060,LINE00000060,POS-PROD0004,Marmot UtilityStyle Hoodie,Outerwear,POS-SKU0062,2,50,0,6.0
REC00000061,LINE00000061,POS-PROD0015,Calvin Klein StormProof Cardigan,Outerwear,POS-SKU0075,3,300,4,54.0
REC00000062,LINE00000062,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,3,80,1,14.4
REC00000062,LINE00000062,POS-PROD0011,Converse GripLock Running Shoes,Shoes,POS-SKU0010,3,180,0,32.4
REC00000063,LINE00000063,POS-PROD0017,Gap CoreFlex Jeans,Bottoms,POS-SKU0045,1,310,1,18.6
REC00000063,LINE00000063,POS-PROD0005,Banana Republic Contemporary Midi Dress,Dresses,POS-SKU0094,1,270,5,16.2
REC00000063,LINE00000063,POS-PROD0011,Converse GripLock Running Shoes,Shoes,POS-SKU0010,2,180,5,21.6
REC00000063,LINE00000063,POS-PROD0014,American Eagle SlimCore Trousers,Bottoms,POS-SKU0073,1,150,6,9.0
REC00000063,LINE00000063,POS-PROD0020,American Eagle EnduraFit Shorts,Bottoms,POS-SKU0012,1,180,0,10.8
REC00000064,LINE00000064,POS-PROD0007,Nike Cropped Shirt,Tops,POS-SKU0052,1,130,0,7.8
REC00000064,LINE00000064,POS-PROD0020,American Eagle EnduraFit Shorts,Bottoms,POS-SKU0012,1,180,9,10.8
REC00000064,LINE00000064,POS-PROD0009,Skechers Slip-On Slip-Ons,Shoes,POS-SKU0011,3,290,4,52.2
REC00000064,LINE00000064,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,1,80,0,4.8
REC00000064,LINE00000064,POS-PROD0008,Under Armour SkinFit Polo Shirt,Tops,POS-SKU0095,3,280,4,50.4
REC00000065,LINE00000065,POS-PROD0014,American Eagle SlimCore Trousers,Bottoms,POS-SKU0073,1,150,9,9.0
REC00000065,LINE00000065,POS-PROD0001,Columbia Padded Hoodie,Outerwear,POS-SKU0099,2,280,5,33.6
REC00000066,LINE00000066,POS-PROD0003,Marmot Quilted Coat,Outerwear,POS-SKU0034,3,130,7,23.4
REC00000066,LINE00000066,POS-PROD0019,American Eagle CoreFlex Skirt,Bottoms,POS-SKU0082,1,140,2,8.4
REC00000067,LINE00000067,POS-PROD0015,Calvin Klein StormProof Cardigan,Outerwear,POS-SKU0075,1,300,5,18.0
REC00000067,LINE00000067,POS-PROD0020,American Eagle EnduraFit Shorts,Bottoms,POS-SKU0012,1,180,8,10.8
REC00000067,LINE00000067,POS-PROD0007,Nike Cropped Shirt,Tops,POS-SKU0052,3,130,0,23.4
REC00000068,LINE00000068,POS-PROD0015,Calvin Klein StormProof Cardigan,Outerwear,POS-SKU0075,1,300,9,18.0
REC00000068,LINE00000068,POS-PROD0006,Calvin Klein Layered Maxi Dress,Dresses,POS-SKU0085,1,270,9,16.2
REC00000068,LINE00000068,POS-PROD0019,American Eagle CoreFlex Skirt,Bottoms,POS-SKU0082,3,140,5,25.2
REC00000069,LINE00000069,POS-PROD0015,Calvin Klein StormProof Cardigan,Outerwear,POS-SKU0075,1,300,3,18.0
REC00000070,LINE00000070,POS-PROD0016,Lululemon PowerMesh Athletic Tee,Activewear,POS-SKU0043,2,100,6,12.0
REC00000071,LINE00000071,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,3,80,0,14.4
REC00000071,LINE00000071,POS-PROD0001,Columbia Padded Hoodie,Outerwear,POS-SKU0099,2,280,5,33.6
REC00000072,LINE00000072,POS-PROD0009,Skechers Slip-On Slip-Ons,Shoes,POS-SKU0011,1,290,4,17.4
REC00000073,LINE00000073,POS-PROD0006,Calvin Klein Layered Maxi Dress,Dresses,POS-SKU0085,1,270,3,16.2
REC00000073,LINE00000073,POS-PROD0014,American Eagle SlimCore Trousers,Bottoms,POS-SKU0073,1,150,3,9.0
REC00000073,LINE00000073,POS-PROD0011,Converse GripLock Running Shoes,Shoes,POS-SKU0010,3,180,3,32.4
REC00000074,LINE00000074,POS-PROD0020,American Eagle EnduraFit Shorts,Bottoms,POS-SKU0012,3,180,7,32.4
REC00000074,LINE00000074,POS-PROD0009,Skechers Slip-On Slip-Ons,Shoes,POS-SKU0011,1,290,4,17.4
REC00000074,LINE00000074,POS-PROD0005,Banana Republic Contemporary Midi Dress,Dresses,POS-SKU0094,3,270,3,48.6
REC00000074,LINE00000074,POS-PROD0010,The North Face Oversized Cardigan,Outerwear,POS-SKU0089,1,80,6,4.8
REC00000075,LINE00000075,POS-PROD0019,American Eagle CoreFlex Skirt,Bottoms,POS-SKU0082,2,140,6,16.8
REC00000075,LINE00000075,POS-PROD0018,New Balance GlideStep Sandals,Shoes,POS-SKU0015,2,100,6,12.0
REC00000075,LINE00000075,POS-PROD0007,Nike Cropped Shirt,Tops,POS-SKU0052,3,130,1,23.4
